,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,education_level,environmental_satiscation,job_involvement_label,job_satisfaction_label,performance_rating_label,relationship_satisfaction_label,work_life_balance_label
11,29,No,Travel_Rarely,153,Research & Development,15,Life Sciences,15,Female,49,2,Laboratory Technician,Single,4193,12682,0,Yes,12,80,0,10,3,9,5,0,8,College,Very High,Medium,High,Excellent,Very High,Better
12,31,No,Travel_Rarely,670,Research & Development,26,Life Sciences,16,Male,31,1,Research Scientist,Divorced,2911,15170,1,No,17,80,1,5,1,5,2,4,3,Below College,Low,High,High,Excellent,Very High,Good
13,34,No,Travel_Rarely,1346,Research & Development,19,Medical,18,Male,93,1,Laboratory Technician,Divorced,2661,8758,0,No,11,80,1,3,2,2,2,1,2,College,Medium,High,Very High,Excellent,High,Better
14,28,Yes,Travel_Rarely,103,Research & Development,24,Life Sciences,19,Male,50,1,Laboratory Technician,Single,2028,12947,5,Yes,14,80,0,6,4,4,2,0,3,Bachelor,High,Medium,High,Excellent,Medium,Better
15,29,No,Travel_Rarely,1389,Research & Development,21,Life Sciences,20,Female,51,3,Manufacturing Director,Divorced,9980,10195,1,No,11,80,1,10,1,10,9,8,8,Master,Medium,Very High,Low,Excellent,High,Better
16,32,No,Travel_Rarely,334,Research & Development,5,Life Sciences,21,Male,80,1,Research Scientist,Divorced,3298,15053,0,Yes,12,80,2,7,5,6,2,0,5,College,Low,Very High,Medium,Excellent,Very High,Good
17,22,No,Non-Travel,1123,Research & Development,16,Medical,22,Male,96,1,Laboratory Technician,Divorced,2935,7324,1,Yes,13,80,2,1,2,1,0,0,0,College,Very High,Very High,Very High,Excellent,Medium,Good
18,53,No,Travel_Rarely,1219,Sales,2,Life Sciences,23,Female,78,4,Manager,Married,15427,22021,2,No,16,80,0,31,3,25,8,3,7,Master,Low,Medium,Very High,Excellent,High,Better
19,38,No,Travel_Rarely,371,Research & Development,2,Life Sciences,24,Male,45,1,Research Scientist,Single,3944,4306,5,Yes,11,80,0,6,3,3,2,1,2,Bachelor,Very High,High,Very High,Excellent,High,Better
20,24,No,Non-Travel,673,Research & Development,11,Other,26,Female,96,2,Manufacturing Director,Divorced,4011,8232,0,No,18,80,1,5,5,4,2,1,3,College,Low,Very High,High,Excellent,Very High,Good
21,36,Yes,Travel_Rarely,1218,Sales,9,Life Sciences,27,Male,82,1,Sales Representative,Single,3407,6986,7,No,23,80,0,10,4,5,3,0,3,Master,High,Medium,Low,Outstanding,Medium,Better
22,34,No,Travel_Rarely,419,Research & Development,7,Life Sciences,28,Female,53,3,Research Director,Single,11994,21293,0,No,11,80,0,13,4,12,6,2,11,Master,Low,High,Medium,Excellent,High,Better
23,21,No,Travel_Rarely,391,Research & Development,15,Life Sciences,30,Male,96,1,Research Scientist,Single,1232,19281,1,No,14,80,0,0,6,0,0,0,0,College,High,High,Very High,Excellent,Very High,Better
24,34,Yes,Travel_Rarely,699,Research & Development,6,Medical,31,Male,83,1,Research Scientist,Single,2960,17102,2,No,11,80,0,8,2,4,2,1,3,Below College,Medium,High,Low,Excellent,High,Better
25,53,No,Travel_Rarely,1282,Research & Development,5,Other,32,Female,58,5,Manager,Divorced,19094,10735,4,No,11,80,1,26,3,14,13,4,8,Bachelor,High,High,High,Excellent,Very High,Good
26,32,Yes,Travel_Frequently,1125,Research & Development,16,Life Sciences,33,Female,72,1,Research Scientist,Single,3919,4681,1,Yes,22,80,0,10,5,10,2,6,7,Below College,Medium,Low,Low,Outstanding,Medium,Better
27,42,No,Travel_Rarely,691,Sales,8,Marketing,35,Male,48,2,Sales Executive,Married,6825,21173,0,No,11,80,1,10,2,9,7,4,2,Master,High,High,Medium,Excellent,Very High,Better
28,44,No,Travel_Rarely,477,Research & Development,7,Medical,36,Female,42,3,Healthcare Representative,Married,10248,2094,3,No,14,80,1,24,4,22,6,5,17,Master,Low,Medium,Very High,Excellent,Very High,Better
29,46,No,Travel_Rarely,705,Sales,2,Marketing,38,Female,83,5,Manager,Single,18947,22822,3,No,12,80,0,22,2,2,2,2,1,Master,Medium,High,Low,Excellent,Very High,Good
30,33,No,Travel_Rarely,924,Research & Development,2,Medical,39,Male,78,1,Laboratory Technician,Single,2496,6670,4,No,11,80,0,7,3,1,1,0,0,Bachelor,High,High,Very High,Excellent,Very High,Better
31,44,No,Travel_Rarely,1459,Research & Development,10,Other,40,Male,41,2,Healthcare Representative,Married,6465,19121,2,Yes,13,80,0,9,5,4,2,1,3,Master,Very High,High,Very High,Excellent,Very High,Best
32,30,No,Travel_Rarely,125,Research & Development,9,Medical,41,Male,83,1,Laboratory Technician,Single,2206,16117,1,No,13,80,0,10,5,10,0,1,8,College,Very High,Medium,High,Excellent,Low,Better
33,39,Yes,Travel_Rarely,895,Sales,5,Technical Degree,42,Male,56,2,Sales Representative,Married,2086,3335,3,No,14,80,1,19,6,1,0,0,0,Bachelor,Very High,High,Very High,Excellent,High,Best
34,24,Yes,Travel_Rarely,813,Research & Development,1,Medical,45,Male,61,1,Research Scientist,Married,2293,3020,2,Yes,16,80,1,6,2,2,0,2,0,Bachelor,Medium,High,Very High,Excellent,Low,Good
35,43,No,Travel_Rarely,1273,Research & Development,2,Medical,46,Female,72,1,Research Scientist,Divorced,2645,21923,1,No,12,80,2,6,3,5,3,1,4,College,Very High,Very High,High,Excellent,Very High,Good
36,50,Yes,Travel_Rarely,869,Sales,3,Marketing,47,Male,86,1,Sales Representative,Married,2683,3810,1,Yes,14,80,0,3,2,3,2,0,2,College,Low,Medium,High,Excellent,High,Better
37,35,No,Travel_Rarely,890,Sales,2,Marketing,49,Female,97,1,Sales Representative,Married,2014,9687,1,No,13,80,0,2,3,2,2,2,2,Bachelor,Very High,High,Very High,Excellent,Low,Better
38,36,No,Travel_Rarely,852,Research & Development,5,Life Sciences,51,Female,82,1,Research Scientist,Married,3419,13072,9,Yes,14,80,1,6,3,1,1,0,0,Master,Medium,Medium,Low,Excellent,Very High,Best
39,33,No,Travel_Frequently,1141,Sales,1,Life Sciences,52,Female,42,2,Sales Executive,Married,5376,3193,2,No,19,80,2,10,3,5,3,1,3,Bachelor,High,Very High,Low,Excellent,Low,Better
40,35,No,Travel_Rarely,464,Research & Development,4,Other,53,Male,75,1,Laboratory Technician,Divorced,1951,10910,1,No,12,80,1,1,3,1,0,0,0,College,High,High,Very High,Excellent,High,Better
41,27,No,Travel_Rarely,1240,Research & Development,2,Life Sciences,54,Female,33,1,Laboratory Technician,Divorced,2341,19715,1,No,13,80,1,1,6,1,0,0,0,Master,Very High,High,Low,Excellent,Very High,Better
42,26,Yes,Travel_Rarely,1357,Research & Development,25,Life Sciences,55,Male,48,1,Laboratory Technician,Single,2293,10558,1,No,12,80,0,1,2,1,0,0,1,Bachelor,Low,Low,High,Excellent,High,Good
43,27,No,Travel_Frequently,994,Sales,8,Life Sciences,56,Male,37,3,Sales Executive,Single,8726,2975,1,No,15,80,0,9,0,9,8,1,7,Bachelor,Very High,High,High,Excellent,Very High,Better
44,30,No,Travel_Frequently,721,Research & Development,1,Medical,57,Female,58,2,Laboratory Technician,Single,4011,10781,1,No,23,80,0,12,2,12,8,3,7,College,High,High,Very High,Outstanding,Very High,Better
45,41,Yes,Travel_Rarely,1360,Research & Development,12,Technical Degree,58,Female,49,5,Research Director,Married,19545,16280,1,No,12,80,0,23,0,22,15,15,8,Bachelor,Medium,High,High,Excellent,Very High,Better
46,34,No,Non-Travel,1065,Sales,23,Marketing,60,Male,72,2,Sales Executive,Single,4568,10034,0,No,20,80,0,10,2,9,5,8,7,Master,Medium,High,High,Outstanding,High,Better
47,37,No,Travel_Rarely,408,Research & Development,19,Life Sciences,61,Male,73,1,Research Scientist,Married,3022,10227,4,No,21,80,0,8,1,1,0,0,0,College,Medium,High,Medium,Outstanding,Low,Better
48,46,No,Travel_Frequently,1211,Sales,5,Marketing,62,Male,98,2,Sales Executive,Single,5772,20445,4,Yes,21,80,0,14,4,9,6,0,8,Master,Low,High,Very High,Outstanding,High,Better
49,35,No,Travel_Rarely,1229,Research & Development,8,Life Sciences,63,Male,36,1,Laboratory Technician,Married,2269,4892,1,No,19,80,0,1,2,1,0,0,1,Below College,Very High,Very High,Very High,Excellent,Very High,Better
50,48,Yes,Travel_Rarely,626,Research & Development,1,Life Sciences,64,Male,98,3,Laboratory Technician,Single,5381,19294,9,Yes,13,80,0,23,2,1,0,0,0,College,Low,Medium,High,Excellent,Very High,Better
51,28,Yes,Travel_Rarely,1434,Research & Development,5,Technical Degree,65,Male,50,1,Laboratory Technician,Single,3441,11179,1,Yes,13,80,0,2,3,2,2,2,2,Master,High,High,High,Excellent,High,Good
52,44,No,Travel_Rarely,1488,Sales,1,Marketing,68,Female,75,2,Sales Executive,Divorced,5454,4009,5,Yes,21,80,1,9,2,4,3,1,3,Doctor,Medium,High,Low,Outstanding,High,Good
53,35,No,Non-Travel,1097,Research & Development,11,Medical,70,Male,79,3,Healthcare Representative,Married,9884,8302,2,Yes,13,80,1,10,3,4,0,2,3,College,High,Medium,Low,Excellent,High,Better
54,26,No,Travel_Rarely,1443,Sales,23,Marketing,72,Female,47,2,Sales Executive,Married,4157,21436,7,Yes,19,80,1,5,2,2,2,0,0,Bachelor,High,Medium,Very High,Excellent,High,Good
55,33,No,Travel_Frequently,515,Research & Development,1,Life Sciences,73,Female,98,3,Research Director,Single,13458,15146,1,Yes,12,80,0,15,1,15,14,8,12,College,Low,High,Very High,Excellent,High,Better
56,35,No,Travel_Frequently,853,Sales,18,Life Sciences,74,Male,71,3,Sales Executive,Married,9069,11031,1,No,22,80,1,9,3,9,8,1,8,Doctor,Medium,High,Low,Outstanding,Very High,Good
57,35,No,Travel_Rarely,1142,Research & Development,23,Medical,75,Female,30,1,Laboratory Technician,Married,4014,16002,3,Yes,15,80,1,4,3,2,2,2,2,Master,High,High,Low,Excellent,High,Better
58,31,No,Travel_Rarely,655,Research & Development,7,Life Sciences,76,Male,48,2,Laboratory Technician,Divorced,5915,9528,3,No,22,80,1,10,3,7,7,1,7,Master,Very High,High,Very High,Outstanding,Very High,Good
59,37,No,Travel_Rarely,1115,Research & Development,1,Life Sciences,77,Male,51,2,Manufacturing Director,Divorced,5993,2689,1,No,18,80,1,7,2,7,5,0,7,Master,Low,Medium,High,Excellent,High,Best
60,32,No,Travel_Rarely,427,Research & Development,1,Medical,78,Male,33,2,Manufacturing Director,Married,6162,10877,1,Yes,22,80,1,9,3,9,8,7,8,Bachelor,Low,High,Very High,Outstanding,Medium,Better
61,38,No,Travel_Frequently,653,Research & Development,29,Life Sciences,79,Female,50,2,Laboratory Technician,Single,2406,5456,1,No,11,80,0,10,2,10,3,9,9,Doctor,Very High,High,Very High,Excellent,Very High,Better
62,50,No,Travel_Rarely,989,Research & Development,7,Medical,80,Female,43,5,Research Director,Divorced,18740,16701,5,Yes,12,80,1,29,2,27,3,13,8,College,Medium,Medium,High,Excellent,Very High,Good
63,59,No,Travel_Rarely,1435,Sales,25,Life Sciences,81,Female,99,3,Sales Executive,Single,7637,2354,7,No,11,80,0,28,3,21,16,7,9,Bachelor,Low,High,Low,Excellent,Very High,Good
64,36,No,Travel_Rarely,1223,Research & Development,8,Technical Degree,83,Female,59,3,Healthcare Representative,Divorced,10096,8202,1,No,13,80,3,17,2,17,14,12,8,Bachelor,High,High,High,Excellent,Medium,Better
65,55,No,Travel_Rarely,836,Research & Development,8,Medical,84,Female,33,4,Manager,Divorced,14756,19730,2,Yes,14,80,3,21,2,5,0,0,2,Bachelor,Very High,High,High,Excellent,High,Better
66,36,No,Travel_Frequently,1195,Research & Development,11,Life Sciences,85,Male,95,2,Manufacturing Director,Single,6499,22656,1,No,13,80,0,6,3,6,5,0,3,Bachelor,Medium,Medium,Medium,Excellent,High,Better
67,45,No,Travel_Rarely,1339,Research & Development,7,Life Sciences,86,Male,59,3,Research Scientist,Divorced,9724,18787,2,No,17,80,1,25,2,1,0,0,0,Bachelor,Medium,High,Low,Excellent,High,Better
68,35,No,Travel_Frequently,664,Research & Development,1,Medical,88,Male,79,1,Research Scientist,Married,2194,5868,4,No,13,80,1,5,2,3,2,1,2,Bachelor,Medium,High,Low,Excellent,Very High,Good
69,36,Yes,Travel_Rarely,318,Research & Development,9,Medical,90,Male,79,1,Research Scientist,Married,3388,21777,0,Yes,17,80,1,2,0,1,0,0,0,Bachelor,Very High,Medium,High,Excellent,Low,Good
70,59,No,Travel_Frequently,1225,Sales,1,Life Sciences,91,Female,57,2,Sales Executive,Single,5473,24668,7,No,11,80,0,20,2,4,3,1,3,Below College,Low,Medium,High,Excellent,Very High,Good
71,29,No,Travel_Rarely,1328,Research & Development,2,Life Sciences,94,Male,76,1,Research Scientist,Married,2703,4956,0,No,23,80,1,6,3,5,4,0,4,Bachelor,High,High,Medium,Outstanding,Very High,Better
72,31,No,Travel_Rarely,1082,Research & Development,1,Medical,95,Male,87,1,Research Scientist,Single,2501,18775,1,No,17,80,0,1,4,1,1,1,0,Master,High,High,Medium,Excellent,Medium,Better
73,32,No,Travel_Rarely,548,Research & Development,1,Life Sciences,96,Male,66,2,Research Scientist,Married,6220,7346,1,No,17,80,2,10,3,10,4,0,9,Bachelor,Medium,High,Medium,Excellent,Medium,Better
74,36,No,Travel_Rarely,132,Research & Development,6,Life Sciences,97,Female,55,1,Laboratory Technician,Married,3038,22002,3,No,12,80,0,5,3,1,0,0,0,Bachelor,Medium,Very High,Very High,Excellent,Medium,Better
75,31,No,Travel_Rarely,746,Research & Development,8,Life Sciences,98,Female,61,2,Manufacturing Director,Single,4424,20682,1,No,23,80,0,11,2,11,7,1,8,Master,High,High,Very High,Outstanding,Very High,Better
76,35,No,Travel_Rarely,776,Sales,1,Marketing,100,Male,32,2,Sales Executive,Single,4312,23016,0,No,14,80,0,16,2,15,13,2,8,Master,High,Medium,Low,Excellent,Medium,Better
77,45,No,Travel_Rarely,193,Research & Development,6,Other,101,Male,52,3,Research Director,Married,13245,15067,4,Yes,14,80,0,17,3,0,0,0,0,Master,Very High,High,Low,Excellent,Medium,Best
78,37,No,Travel_Rarely,397,Research & Development,7,Medical,102,Male,30,3,Research Director,Single,13664,25258,4,No,13,80,0,16,3,5,2,0,2,Master,Low,High,High,Excellent,Low,Best
79,46,No,Travel_Rarely,945,Human Resources,5,Medical,103,Male,80,2,Human Resources,Divorced,5021,10425,8,Yes,22,80,1,16,2,4,2,0,2,College,Medium,High,Medium,Outstanding,Very High,Better
80,30,No,Travel_Rarely,852,Research & Development,1,Life Sciences,104,Male,55,2,Laboratory Technician,Married,5126,15998,1,Yes,12,80,2,10,1,10,8,3,0,Below College,Very High,Medium,Very High,Excellent,High,Good
81,35,No,Travel_Rarely,1214,Research & Development,1,Medical,105,Male,30,1,Research Scientist,Single,2859,26278,1,No,18,80,0,6,3,6,4,0,4,Bachelor,Medium,Medium,High,Excellent,Low,Better
82,55,No,Travel_Rarely,111,Sales,1,Life Sciences,106,Male,70,3,Sales Executive,Married,10239,18092,3,No,14,80,1,24,4,1,0,1,0,College,Low,High,Very High,Excellent,Very High,Better
83,38,No,Non-Travel,573,Research & Development,6,Medical,107,Female,79,2,Research Scientist,Divorced,5329,15717,7,Yes,12,80,3,17,3,13,11,1,9,Bachelor,Medium,Low,Very High,Excellent,Very High,Better
84,34,No,Travel_Rarely,1153,Research & Development,1,Medical,110,Male,94,2,Manufacturing Director,Married,4325,17736,1,No,15,80,0,5,2,5,2,1,3,College,Low,High,Medium,Excellent,High,Better
85,56,No,Travel_Rarely,1400,Research & Development,7,Life Sciences,112,Male,49,3,Manufacturing Director,Single,7260,21698,4,No,11,80,0,37,3,6,4,0,2,Bachelor,Very High,Low,Very High,Excellent,Low,Good
86,23,No,Travel_Rarely,541,Sales,2,Technical Degree,113,Male,62,1,Sales Representative,Divorced,2322,9518,3,No,13,80,1,3,3,0,0,0,0,Below College,High,High,Low,Excellent,High,Better
87,51,No,Travel_Rarely,432,Research & Development,9,Life Sciences,116,Male,96,1,Laboratory Technician,Married,2075,18725,3,No,23,80,2,10,4,4,2,0,3,Master,Very High,High,Very High,Outstanding,Medium,Better
88,30,No,Travel_Rarely,288,Research & Development,2,Life Sciences,117,Male,99,2,Healthcare Representative,Married,4152,15830,1,No,19,80,3,11,3,11,10,10,8,Bachelor,High,Medium,Very High,Excellent,Low,Better
89,46,Yes,Travel_Rarely,669,Sales,9,Medical,118,Male,64,3,Sales Executive,Single,9619,13596,1,No,16,80,0,9,3,9,8,4,7,College,High,Medium,Very High,Excellent,Very High,Better
90,40,No,Travel_Frequently,530,Research & Development,1,Life Sciences,119,Male,78,4,Healthcare Representative,Married,13503,14115,1,No,22,80,1,22,3,22,3,11,11,Master,High,Medium,Medium,Outstanding,Very High,Good
91,51,No,Travel_Rarely,632,Sales,21,Marketing,120,Male,71,2,Sales Executive,Single,5441,8423,0,Yes,22,80,0,11,2,10,7,1,0,Master,High,High,Very High,Outstanding,Very High,Bad
92,30,No,Travel_Rarely,1334,Sales,4,Medical,121,Female,63,2,Sales Executive,Divorced,5209,19760,1,Yes,12,80,3,11,4,11,8,2,7,College,High,Medium,Medium,Excellent,Medium,Good
93,46,No,Travel_Frequently,638,Research & Development,1,Medical,124,Male,40,3,Healthcare Representative,Married,10673,3142,2,Yes,13,80,1,21,5,10,9,9,5,Bachelor,High,Medium,Low,Excellent,High,Good
94,32,No,Travel_Rarely,1093,Sales,6,Medical,125,Male,87,2,Sales Executive,Single,5010,24301,1,No,16,80,0,12,0,11,8,5,7,Master,Medium,High,High,Excellent,Low,Better
95,54,No,Travel_Rarely,1217,Research & Development,2,Technical Degree,126,Female,60,3,Research Director,Married,13549,24001,9,No,12,80,1,16,5,4,3,0,3,Master,Low,High,High,Excellent,Low,Bad
96,24,No,Travel_Rarely,1353,Sales,3,Other,128,Female,33,2,Sales Executive,Married,4999,17519,0,No,21,80,1,4,2,3,2,0,2,College,Low,High,High,Outstanding,Low,Good
97,28,No,Non-Travel,120,Sales,4,Medical,129,Male,43,2,Sales Executive,Married,4221,8863,1,No,15,80,0,5,3,5,4,0,4,Bachelor,Medium,High,High,Excellent,Medium,Best
98,58,No,Travel_Rarely,682,Sales,10,Medical,131,Male,37,4,Sales Executive,Single,13872,24409,0,No,13,80,0,38,1,37,10,1,8,Master,Very High,High,High,Excellent,High,Good
99,44,No,Non-Travel,489,Research & Development,23,Medical,132,Male,67,2,Laboratory Technician,Married,2042,25043,4,No,12,80,1,17,3,3,2,1,2,Bachelor,Medium,High,Medium,Excellent,High,Best
100,37,Yes,Travel_Rarely,807,Human Resources,6,Human Resources,133,Male,63,1,Human Resources,Divorced,2073,23648,4,Yes,22,80,0,7,3,3,2,0,2,Master,High,High,Low,Outstanding,Very High,Better
101,32,No,Travel_Rarely,827,Research & Development,1,Life Sciences,134,Male,71,1,Research Scientist,Single,2956,15178,1,No,13,80,0,1,2,1,0,0,0,Below College,Very High,High,Low,Excellent,Very High,Better
102,20,Yes,Travel_Frequently,871,Research & Development,6,Life Sciences,137,Female,66,1,Laboratory Technician,Single,2926,19783,1,Yes,18,80,0,1,5,1,0,1,0,Bachelor,Very High,Medium,Very High,Excellent,Medium,Better
103,34,No,Travel_Rarely,665,Research & Development,6,Other,138,Female,41,2,Research Scientist,Single,4809,12482,1,No,14,80,0,16,3,16,13,2,10,Master,Low,High,High,Excellent,High,Better
104,37,No,Non-Travel,1040,Research & Development,2,Life Sciences,139,Male,100,2,Healthcare Representative,Divorced,5163,15850,5,No,14,80,1,17,2,1,0,0,0,College,High,Medium,Very High,Excellent,Very High,Best
105,59,No,Non-Travel,1420,Human Resources,2,Human Resources,140,Female,32,5,Manager,Married,18844,21922,9,No,21,80,1,30,3,3,2,2,2,Master,High,Medium,Very High,Outstanding,Very High,Better
106,50,No,Travel_Frequently,1115,Research & Development,1,Life Sciences,141,Female,73,5,Research Director,Married,18172,9755,3,Yes,19,80,0,28,1,8,3,0,7,Bachelor,Low,High,Medium,Excellent,Low,Good
107,25,Yes,Travel_Rarely,240,Sales,5,Marketing,142,Male,46,2,Sales Executive,Single,5744,26959,1,Yes,11,80,0,6,1,6,4,0,3,Bachelor,High,Medium,High,Excellent,Very High,Better
108,25,No,Travel_Rarely,1280,Research & Development,7,Medical,143,Male,64,1,Research Scientist,Married,2889,26897,1,No,11,80,2,2,2,2,2,2,1,Below College,Very High,Medium,Very High,Excellent,High,Better
109,22,No,Travel_Rarely,534,Research & Development,15,Medical,144,Female,59,1,Laboratory Technician,Single,2871,23785,1,No,15,80,0,1,5,0,0,0,0,Bachelor,Medium,High,Very High,Excellent,High,Better
110,51,No,Travel_Frequently,1456,Research & Development,1,Medical,145,Female,30,3,Healthcare Representative,Single,7484,25796,3,No,20,80,0,23,1,13,12,12,8,Master,Low,Medium,Low,Outstanding,High,Good
111,34,Yes,Travel_Frequently,658,Research & Development,7,Life Sciences,147,Male,66,2,Laboratory Technician,Single,6074,22887,1,Yes,24,80,0,9,3,9,7,0,6,Bachelor,Low,Low,High,Outstanding,Very High,Better
112,54,No,Non-Travel,142,Human Resources,26,Human Resources,148,Female,30,4,Manager,Single,17328,13871,2,Yes,12,80,0,23,3,5,3,4,4,Bachelor,Very High,Very High,Very High,Excellent,High,Better
113,24,No,Travel_Rarely,1127,Research & Development,18,Life Sciences,150,Male,52,1,Laboratory Technician,Married,2774,13257,0,No,12,80,1,6,2,5,3,1,2,Below College,Medium,High,High,Excellent,High,Better
114,34,No,Travel_Rarely,1031,Research & Development,6,Life Sciences,151,Female,45,2,Research Scientist,Divorced,4505,15000,6,No,15,80,1,12,3,1,0,0,0,Master,High,Medium,Medium,Excellent,High,Better
115,37,No,Travel_Rarely,1189,Sales,3,Life Sciences,152,Male,87,3,Sales Executive,Single,7428,14506,2,No,12,80,0,12,3,5,3,1,3,Bachelor,High,High,Very High,Excellent,Low,Better
116,34,No,Travel_Rarely,1354,Research & Development,5,Medical,153,Female,45,3,Manager,Single,11631,5615,2,No,12,80,0,14,6,11,10,5,8,Bachelor,High,Medium,Low,Excellent,Very High,Better
117,36,No,Travel_Frequently,1467,Sales,11,Technical Degree,154,Female,92,3,Sales Executive,Married,9738,22952,0,No,14,80,1,10,6,9,7,2,8,College,Medium,High,Very High,Excellent,High,Better
118,36,No,Travel_Rarely,922,Research & Development,3,Life Sciences,155,Female,39,1,Laboratory Technician,Divorced,2835,2561,5,No,22,80,1,7,2,1,0,0,0,College,Low,High,Very High,Outstanding,Low,Better
119,43,No,Travel_Frequently,394,Sales,26,Life Sciences,158,Male,92,4,Manager,Married,16959,19494,1,Yes,12,80,2,25,3,25,12,4,12,College,High,High,Very High,Excellent,Very High,Best
120,30,No,Travel_Frequently,1312,Research & Development,23,Life Sciences,159,Male,96,1,Research Scientist,Divorced,2613,22310,1,No,25,80,3,10,2,10,7,0,9,Bachelor,Low,Low,High,Outstanding,High,Good
121,33,No,Non-Travel,750,Sales,22,Marketing,160,Male,95,2,Sales Executive,Married,6146,15480,0,No,13,80,1,8,2,7,7,0,7,College,High,High,Medium,Excellent,Low,Best
122,56,Yes,Travel_Rarely,441,Research & Development,14,Life Sciences,161,Female,72,1,Research Scientist,Married,4963,4510,9,Yes,18,80,3,7,2,5,4,4,3,Master,Medium,High,Medium,Excellent,Low,Better
123,51,No,Travel_Rarely,684,Research & Development,6,Life Sciences,162,Male,51,5,Research Director,Single,19537,6462,7,No,13,80,0,23,5,20,18,15,15,Bachelor,Low,High,High,Excellent,High,Better
124,31,Yes,Travel_Rarely,249,Sales,6,Life Sciences,163,Male,76,2,Sales Executive,Married,6172,20739,4,Yes,18,80,0,12,3,7,7,7,7,Master,Medium,Low,High,Excellent,Medium,Good
125,26,No,Travel_Rarely,841,Research & Development,6,Other,164,Female,46,1,Research Scientist,Married,2368,23300,1,No,19,80,0,5,3,5,4,4,3,Bachelor,High,Medium,Medium,Excellent,High,Good
126,58,Yes,Travel_Rarely,147,Research & Development,23,Medical,165,Female,94,3,Healthcare Representative,Married,10312,3465,1,No,12,80,1,40,3,40,10,15,6,Master,Very High,High,Very High,Excellent,Very High,Good
127,19,Yes,Travel_Rarely,528,Sales,22,Marketing,167,Male,50,1,Sales Representative,Single,1675,26820,1,Yes,19,80,0,0,2,0,0,0,0,Below College,Very High,High,High,Excellent,Very High,Good
128,22,No,Travel_Rarely,594,Research & Development,2,Technical Degree,169,Male,100,1,Laboratory Technician,Married,2523,19299,0,No,14,80,1,3,2,2,1,2,1,Below College,High,High,Very High,Excellent,High,Better
